wandb_id,model_name,tinyface/test/rank@1,tinyface/test/rank@2,tinyface/test/rank@3,tinyface/test/rank@4,tinyface/test/rank@5,tinyface/test/rank@6,tinyface/test/rank@7,tinyface/test/rank@8,tinyface/test/rank@9,tinyface/test/rank@10,tinyface/test/auc,tinyface/test/mAP,tinyface/test/eer,tinyface/test/tpr_at_fpr_1pct,tinyface/test/tpr_at_fpr_5pct
kkj2mwz2,deit3_medium_patch16_224.fb_in1k,0.5702789425849915,0.6199034452438354,0.6469957232475281,0.6695278882980347,0.6880365014076233,0.696083664894104,0.7060086131095886,0.7156652212142944,0.7247853875160217,0.7306867241859436,0.9716017842292786,0.6251857280731201,0.08261802792549133,0.7918455004692078,0.8916308879852295
0yo0e1l7,swin_small_patch4_window7_224.ms_in1k,0.5533798336982727,0.6062231659889221,0.6416308879852295,0.6622853875160217,0.6778433322906494,0.6936695575714111,0.7052038908004761,0.7145922780036926,0.720761775970459,0.7317596673965454,0.9722631573677063,0.6134167313575745,0.08395922929048538,0.7961373329162598,0.8889485001564026
w2k02mix,deit3_base_patch16_224.fb_in1k,0.5834227204322815,0.6376072764396667,0.6652360558509827,0.6840128898620605,0.6995708346366882,0.7086910009384155,0.7162017226219177,0.7261266112327576,0.7341738343238831,0.741148054599762,0.9734491109848022,0.6389501094818115,0.07786919176578522,0.8023068904876709,0.9012875556945801
3faz5a7o,swin_base_patch4_window7_224.ms_in1k,0.5504291653633118,0.6067596673965454,0.6357296109199524,0.658530056476593,0.6748927235603333,0.6915236115455627,0.7014485001564026,0.7119098901748657,0.7202253341674805,0.7271995544433594,0.9723841547966003,0.6107762455940247,0.08047189563512802,0.7945278882980347,0.8905579447746277
tjip2s4w,deit3_small_patch16_224.fb_in1k,0.5515021681785583,0.6035407781600952,0.6333154439926147,0.6547746658325195,0.6724785566329956,0.6866952776908875,0.6958154439926147,0.7052038908004761,0.7145922780036926,0.720761775970459,0.9713816046714783,0.6091638803482056,0.08181330561637878,0.7821888327598572,0.8900214433670044
nvzory9h,pvt_v2_b5.in1k,0.5466738343238831,0.5997853875160217,0.6303648352622986,0.6494098901748657,0.6663089990615845,0.6781116127967834,0.6877682209014893,0.6993025541305542,0.709227442741394,0.7153970003128052,0.9721808433532715,0.6046733260154724,0.08127724379301071,0.7795064449310303,0.8908261656761169
y11v279f,swin_tiny_patch4_window7_224.ms_in1k,0.5616952776908875,0.6182940006256104,0.6464592218399048,0.667382001876831,0.6815987229347229,0.6944742202758789,0.7054721117019653,0.7159335017204285,0.7245171666145325,0.7320278882980347,0.9704644680023193,0.6202362775802612,0.08342285454273224,0.7899678349494934,0.8889485001564026
hzvjhovx,convnext_tiny.fb_in1k,0.5316523313522339,0.5863733887672424,0.6190987229347229,0.6389485001564026,0.6566523313522339,0.665772557258606,0.6778433322906494,0.6866952776908875,0.6931330561637878,0.7009119987487793,0.9655871391296387,0.5909944176673889,0.09419801086187363,0.7642167210578918,0.8669527769088745
eltlatns,pvt_v2_b3.in1k,0.5429184436798096,0.5997853875160217,0.6263412237167358,0.6486051678657532,0.6676502227783203,0.6821351647377014,0.6915236115455627,0.7017167210578918,0.7089592218399048,0.7156652212142944,0.9711058735847473,0.6026689410209656,0.08342337608337402,0.7795064449310303,0.8878755569458008
ccc9z3g5,convnext_small.fb_in1k,0.5370171666145325,0.5861051678657532,0.6129291653633118,0.6346566677093506,0.653969943523407,0.667382001876831,0.6794527769088745,0.6899141669273376,0.6952789425849915,0.703594446182251,0.9657621383666992,0.5931968688964844,0.09361577779054642,0.7663626670837402,0.8701716661453247
uvu73fxo,pvt_v2_b2.in1k,0.542113721370697,0.5981759428977966,0.6279506683349609,0.646727442741394,0.6655042767524719,0.6791845560073853,0.691791832447052,0.7017167210578918,0.7094957232475281,0.7159335017204285,0.9701754450798035,0.6020433306694031,0.08234957605600357,0.7781652212142944,0.8932403326034546
m4xjjh07,convnext_base.fb_in1k,0.5426502227783203,0.5933476686477661,0.6260729432106018,0.646727442741394,0.6609442234039307,0.6751609444618225,0.6880365014076233,0.6979613900184631,0.7065450549125671,0.7156652212142944,0.9685846567153931,0.6003745794296265,0.08681930601596832,0.7730686664581299,0.8809012770652771
amsv29wr,mobilevitv2_200.cvnets_in1k,0.5429184436798096,0.5933476686477661,0.6182940006256104,0.6384119987487793,0.6545064449310303,0.665772557258606,0.6791845560073853,0.6866952776908875,0.6936695575714111,0.7017167210578918,0.9615461230278015,0.5971392393112183,0.09844253212213516,0.7591201663017273,0.8623927235603333
4860x6ia,resnet50d.ra2_in1k,0.4763948619365692,0.5383583903312683,0.5675965547561646,0.5920064449310303,0.6097102761268616,0.6263412237167358,0.6386802792549133,0.649678111076355,0.658530056476593,0.6660407781600952,0.9628915786743164,0.5418021082878113,0.09839803725481033,0.7231759428977966,0.8543455004692078
qopz1ks6,resnet101d.ra2_in1k,0.4973175823688507,0.5560622215270996,0.5885193347930908,0.61185622215271,0.6279506683349609,0.6402897238731384,0.6507510542869568,0.6601395010948181,0.671405553817749,0.6813304424285889,0.9613420963287354,0.5604776740074158,0.09871244430541992,0.7371244430541992,0.8530042767524719
asyv1awr,resnet200d.ra2_in1k,0.4678111672401428,0.5273604989051819,0.5587446093559265,0.5788626670837402,0.5997853875160217,0.6131974458694458,0.6258047223091125,0.6370708346366882,0.6464592218399048,0.6555793881416321,0.960270881652832,0.5319464206695557,0.10144958645105362,0.7172746658325195,0.8487124443054199
4860x6ia,resnet50d.ra2_in1k,0.4763948619365692,0.5383583903312683,0.5675965547561646,0.5920064449310303,0.6097102761268616,0.6263412237167358,0.6386802792549133,0.649678111076355,0.658530056476593,0.6660407781600952,0.9628915786743164,0.5418021082878113,0.09839803725481033,0.7231759428977966,0.8543455004692078
qopz1ks6,resnet101d.ra2_in1k,0.4973175823688507,0.5560622215270996,0.5885193347930908,0.61185622215271,0.6279506683349609,0.6402897238731384,0.6507510542869568,0.6601395010948181,0.671405553817749,0.6813304424285889,0.9613420963287354,0.5604776740074158,0.09871244430541992,0.7371244430541992,0.8530042767524719
asyv1awr,resnet200d.ra2_in1k,0.4678111672401428,0.5273604989051819,0.5587446093559265,0.5788626670837402,0.5997853875160217,0.6131974458694458,0.6258047223091125,0.6370708346366882,0.6464592218399048,0.6555793881416321,0.960270881652832,0.5319464206695557,0.10144958645105362,0.7172746658325195,0.8487124443054199
