wandb_id,model_name,tinyface/test/rank@1,tinyface/test/rank@2,tinyface/test/rank@3,tinyface/test/rank@4,tinyface/test/rank@5,tinyface/test/rank@6,tinyface/test/rank@7,tinyface/test/rank@8,tinyface/test/rank@9,tinyface/test/rank@10,tinyface/test/auc,tinyface/test/mAP,tinyface/test/eer,tinyface/test/tpr_at_fpr_1pct,tinyface/test/tpr_at_fpr_5pct
zz76v2nu,swin_tiny_patch4_window7_224.ms_in1k,0.6158798336982727,0.6590664982795715,0.6845493316650391,0.7017167210578918,0.7159335017204285,0.7255901098251343,0.7336373329162598,0.7427574992179871,0.75,0.7569742202758789,0.9738176465034485,0.6642566323280334,0.07430309802293777,0.8133047223091125,0.9106759428977966
kpmq1v0l,swin_tiny_patch4_window7_224.ms_in1k,0.5678648352622986,0.616416335105896,0.6435086131095886,0.6614806652069092,0.67435622215271,0.6877682209014893,0.70064377784729,0.7089592218399048,0.7151287794113159,0.725321888923645,0.9695997834205627,0.6211641430854797,0.08395902067422867,0.783261775970459,0.8846566677093506
i60x81gy,swin_tiny_patch4_window7_224.ms_in1k,0.5456008315086365,0.6027360558509827,0.6314377784729004,0.653969943523407,0.6681867241859436,0.6799892783164978,0.6901823878288269,0.7011802792549133,0.709227442741394,0.716738224029541,0.9686040878295898,0.6049609184265137,0.08620793372392654,0.7736051678657532,0.8800965547561646
fyp68bza,swin_tiny_patch4_window7_224.ms_in1k,0.5482832789421082,0.6038089990615845,0.6327789425849915,0.6518240571022034,0.667382001876831,0.6813304424285889,0.6901823878288269,0.7027897238731384,0.7129828333854675,0.720761775970459,0.9663309454917908,0.6066322922706604,0.0911002904176712,0.7765557765960693,0.8798283338546753
3m21a7os,swin_tiny_patch4_window7_224.ms_in1k,0.5490880012512207,0.6019313335418701,0.6311695575714111,0.6534335017204285,0.6649678349494934,0.6770386099815369,0.6896459460258484,0.7025214433670044,0.7103004455566406,0.716738224029541,0.9682079553604126,0.6062259078025818,0.08659692108631134,0.7752146124839783,0.8849248886108398
dm9j6n39,swin_tiny_patch4_window7_224.ms_in1k,0.5528433322906494,0.6070278882980347,0.6386802792549133,0.6558476686477661,0.671405553817749,0.6834763884544373,0.6925965547561646,0.7025214433670044,0.7116416096687317,0.7183476686477661,0.9691433310508728,0.6105421781539917,0.08674754947423935,0.7848712205886841,0.8841201663017273
7d05whai,swin_tiny_patch4_window7_224.ms_in1k,0.5469420552253723,0.6008583903312683,0.6325107216835022,0.6515557765960693,0.6681867241859436,0.6813304424285889,0.6915236115455627,0.7011802792549133,0.7081544995307922,0.7162017226219177,0.9674630761146545,0.6058046221733093,0.08851868659257889,0.7819206118583679,0.8817059993743896
qgskd48h,swin_tiny_patch4_window7_224.ms_in1k,0.5273604989051819,0.5850321650505066,0.6180257797241211,0.6349248886108398,0.6515557765960693,0.6641631126403809,0.6767703890800476,0.6872317790985107,0.6942059993743896,0.7003755569458008,0.9704917073249817,0.5882731080055237,0.08315440267324448,0.7647532224655151,0.883851945400238
zicmj3j9,swin_tiny_patch4_window7_224.ms_in1k,0.4503755271434784,0.4962446391582489,0.5225321650505066,0.5410407781600952,0.5563304424285889,0.5675965547561646,0.579935610294342,0.5912017226219177,0.6038089990615845,0.6099785566329956,0.9444556832313538,0.5039069652557373,0.12993894517421722,0.6483368873596191,0.7961373329162598
fnkz16nn,swin_tiny_patch4_window7_224.ms_in1k,0.5810086131095886,0.6306330561637878,0.653969943523407,0.6727467775344849,0.691791832447052,0.7030579447746277,0.7132510542869568,0.7231759428977966,0.7285407781600952,0.7336373329162598,0.9716174602508545,0.633756160736084,0.07978813350200653,0.7929184436798096,0.896727442741394
