wandb_id,model_name,tinyface/test/rank@1,tinyface/test/rank@2,tinyface/test/rank@3,tinyface/test/rank@4,tinyface/test/rank@5,tinyface/test/rank@6,tinyface/test/rank@7,tinyface/test/rank@8,tinyface/test/rank@9,tinyface/test/rank@10,tinyface/test/auc,tinyface/test/mAP,tinyface/test/eer,tinyface/test/tpr_at_fpr_1pct,tinyface/test/tpr_at_fpr_5pct
y6ddjqyw,swin_tiny_patch4_window7_224.ms_in1k,0.5490880012512207,0.6019313335418701,0.6311695575714111,0.6534335017204285,0.6649678349494934,0.6770386099815369,0.6896459460258484,0.7025214433670044,0.7103004455566406,0.716738224029541,0.9682079553604126,0.6062259078025818,0.08659692108631134,0.7752146124839783,0.8849248886108398
j5t9bwdw,swin_tiny_patch4_window7_224.ms_in1k,0.4235514998435974,0.46861588954925537,0.495708167552948,0.5177038908004761,0.5348712205886841,0.5472102761268616,0.5576716661453247,0.5651823878288269,0.5726931095123291,0.5793991684913635,0.8847944140434265,0.4773160517215729,0.19246213138103485,0.48792919516563416,0.6563841104507446
o8hvv51y,swin_small_patch4_window7_224.ms_in1k,0.5469420552253723,0.6040772795677185,0.629560112953186,0.6504828333854675,0.6644313335418701,0.6775751113891602,0.6888412237167358,0.6966201663017273,0.7046673893928528,0.7137875556945801,0.9666608572006226,0.605224072933197,0.08878755569458008,0.778969943523407,0.8758047223091125
oz4o3b3x,swin_small_patch4_window7_224.ms_in1k,0.39297211170196533,0.4428648054599762,0.47183477878570557,0.49061158299446106,0.5104613900184631,0.5211910009384155,0.5329935550689697,0.5458691120147705,0.553648054599762,0.5592811107635498,0.8845646381378174,0.4498006999492645,0.19144651293754578,0.47773605585098267,0.641094446182251
i0fg9wl7,swin_base_patch4_window7_224.ms_in1k,0.528969943523407,0.5751072764396667,0.6067596673965454,0.6359978318214417,0.6520922780036926,0.6660407781600952,0.6770386099815369,0.6875,0.6942059993743896,0.7019850015640259,0.9674293994903564,0.5864480137825012,0.08851952105760574,0.7636802792549133,0.8817059993743896
fmfagyf4,swin_base_patch4_window7_224.ms_in1k,0.3605150282382965,0.41469958424568176,0.44313305616378784,0.46083691716194153,0.4806866943836212,0.4951716661453247,0.5061695575714111,0.5155579447746277,0.5209227204322815,0.5260193347930908,0.8875926733016968,0.41968339681625366,0.19083838164806366,0.4780043065547943,0.6435086131095886
lkhiumos,deit3_small_patch16_224.fb_in1k,0.5429184436798096,0.5938841104507446,0.6268776655197144,0.6502146124839783,0.667113721370697,0.6810622215270996,0.691791832447052,0.7033261656761169,0.7127146124839783,0.7183476686477661,0.9715375304222107,0.6022384166717529,0.0831548199057579,0.7867489457130432,0.8900214433670044
wbo6pu5v,deit3_small_patch16_224.fb_in1k,0.5195815563201904,0.5745708346366882,0.6059549450874329,0.6314377784729004,0.6464592218399048,0.6601395010948181,0.6722102761268616,0.6834763884544373,0.6952789425849915,0.7019850015640259,0.9684056043624878,0.5814421772956848,0.08292344957590103,0.7623390555381775,0.8806330561637878
6tkurhll,deit3_medium_patch16_224.fb_in1k,0.557939887046814,0.6099785566329956,0.6376072764396667,0.6579935550689697,0.67435622215271,0.6885729432106018,0.6987661123275757,0.7089592218399048,0.7180793881416321,0.7250536680221558,0.9730998277664185,0.6147624850273132,0.08293630182743073,0.7883583903312683,0.8900214433670044
kfbdjiaz,deit3_medium_patch16_224.fb_in1k,0.5337982773780823,0.5858368873596191,0.6113197207450867,0.6333154439926147,0.6512875556945801,0.6630901098251343,0.6727467775344849,0.6802574992179871,0.6856223344802856,0.6928648352622986,0.9558295607566833,0.5891282558441162,0.10166288167238235,0.7451716661453247,0.853272557258606
f63auzxo,deit3_base_patch16_224.fb_in1k,0.5718883872032166,0.6247317790985107,0.6569206118583679,0.6754291653633118,0.6869634985923767,0.7003755569458008,0.7113733887672424,0.7186158895492554,0.7258583903312683,0.7336373329162598,0.9727388024330139,0.6283223032951355,0.08304524421691895,0.7969420552253723,0.895117998123169
fz8pc2je,deit3_base_patch16_224.fb_in1k,0.5469420552253723,0.5987124443054199,0.6260729432106018,0.6427038908004761,0.6571888327598572,0.6727467775344849,0.6872317790985107,0.6979613900184631,0.7052038908004761,0.7119098901748657,0.9654744863510132,0.6030303835868835,0.08926229923963547,0.7744098901748657,0.879560112953186
5wabjm9e,swin_tiny_patch4_window7_224.ms_in1k,0.5356759428977966,0.5944206118583679,0.6193669438362122,0.641094446182251,0.6526287794113159,0.6676502227783203,0.678648054599762,0.6858905553817749,0.6952789425849915,0.7022532224655151,0.9673588275909424,0.5946563482284546,0.08798481523990631,0.7668991684913635,0.8803648352622986
s2ceip2w,swin_tiny_patch4_window7_224.ms_in1k,0.414967805147171,0.4589592218399048,0.48363733291625977,0.504560112953186,0.5171673893928528,0.5305793881416321,0.542113721370697,0.5512338876724243,0.5622317790985107,0.571351945400238,0.8910982012748718,0.46763086318969727,0.187681645154953,0.5013412237167358,0.6620171666145325
sxo4xwy2,swin_small_patch4_window7_224.ms_in1k,0.542382001876831,0.6024678349494934,0.6276823878288269,0.6528970003128052,0.6687231659889221,0.6821351647377014,0.6904506683349609,0.7017167210578918,0.7135193347930908,0.7188841104507446,0.9680081009864807,0.6032629013061523,0.08667097985744476,0.7827253341674805,0.8763412237167358
ybx1z1y5,swin_small_patch4_window7_224.ms_in1k,0.5587446093559265,0.6059549450874329,0.6373390555381775,0.6563841104507446,0.6681867241859436,0.6818669438362122,0.6912553906440735,0.7001072764396667,0.7097639441490173,0.7159335017204285,0.9683820009231567,0.6127691864967346,0.0885341465473175,0.7827253341674805,0.8809012770652771
jh5v6ltc,swin_base_patch4_window7_224.ms_in1k,0.5359442234039307,0.5882510542869568,0.620708167552948,0.6435086131095886,0.654238224029541,0.6655042767524719,0.6735514998435974,0.6813304424285889,0.6936695575714111,0.6993025541305542,0.9659987688064575,0.5934934616088867,0.08823645114898682,0.7575107216835022,0.870708167552948
i8c854l4,swin_base_patch4_window7_224.ms_in1k,0.35166308283805847,0.4058476388454437,0.4391094446182251,0.4648605287075043,0.48041844367980957,0.4924892783164978,0.504560112953186,0.5158261656761169,0.5238733887672424,0.5305793881416321,0.8870338201522827,0.4136368930339813,0.19204264879226685,0.47719958424568176,0.6459227204322815
nz4gtmdt,deit3_small_patch16_224.fb_in1k,0.5359442234039307,0.5949570536613464,0.6225858330726624,0.6486051678657532,0.6660407781600952,0.6799892783164978,0.6915236115455627,0.6984978318214417,0.7073497772216797,0.7153970003128052,0.9692224860191345,0.5978612303733826,0.08771469444036484,0.7765557765960693,0.88814377784729
vsypj6cs,deit3_small_patch16_224.fb_in1k,0.5380901098251343,0.5952253341674805,0.620708167552948,0.63814377784729,0.6499463319778442,0.662821888923645,0.6748927235603333,0.6842811107635498,0.6934012770652771,0.6995708346366882,0.9560707211494446,0.5947690606117249,0.10193122923374176,0.7559012770652771,0.857564389705658
