model,architecture,variant,prune_method,precision,params_M,size_MB,rank@1,rank@2,rank@3,rank@4,rank@5,auc,mAP,eer,tpr_at_fpr_1pct,tpr_at_fpr_5pct
deit3_small_baseline-heads_0.25,DeiT3-S,Baseline,25% heads,INT8,19.84,20.7,0.5416,0.6006,0.6301,0.6505,0.6671,0.970395,0.602156,0.083798,0.779506,0.885193
deit3_small_baseline-blocks_2,DeiT3-S,Baseline,2 blocks,FP32,18.06,69.6,0.4981,0.5486,0.584,0.6076,0.6258,0.958129,0.55788,0.105955,0.717811,0.842811
deit3_small_baseline-blocks_2,DeiT3-S,Baseline,2 blocks,FP16,18.06,35.1,0.4981,0.5483,0.5834,0.6076,0.6261,0.958127,0.557808,0.105955,0.717811,0.842811
deit3_small_baseline-blocks_2,DeiT3-S,Baseline,2 blocks,INT8,18.06,18.9,0.4984,0.5504,0.5789,0.6014,0.618,0.958095,0.557178,0.104211,0.717543,0.841738
swin_base_baseline-heads_0.10,Swin-B,Baseline,10% heads,FP32,84.75,327.2,0.4874,0.5496,0.5823,0.6078,0.6247,0.961415,0.553408,0.097371,0.751341,0.859979
swin_base_baseline-heads_0.10,Swin-B,Baseline,10% heads,FP16,84.75,164.7,0.4874,0.5504,0.5823,0.607,0.6247,0.961413,0.553522,0.097371,0.751341,0.859979
swin_base_baseline-heads_0.10,Swin-B,Baseline,10% heads,INT8,84.75,85.1,0.4877,0.5477,0.581,0.6041,0.6237,0.961205,0.553006,0.097639,0.750268,0.858637
swin_base_baseline-heads_0.25,Swin-B,Baseline,25% heads,FP32,81.0,312.7,0.4541,0.5169,0.5528,0.574,0.5931,0.954447,0.521455,0.107296,0.726127,0.840397
swin_base_baseline-heads_0.25,Swin-B,Baseline,25% heads,FP16,81.0,157.5,0.4541,0.5169,0.5528,0.574,0.5933,0.954441,0.521476,0.107329,0.726395,0.840397
swin_base_baseline-heads_0.25,Swin-B,Baseline,25% heads,INT8,81.0,81.2,0.4528,0.5172,0.5515,0.5746,0.5896,0.953782,0.520396,0.107339,0.721298,0.839056
swin_base_baseline-blocks_5,Swin-B,Baseline,5 blocks,FP32,70.95,273.9,0.5528,0.6041,0.6352,0.655,0.6727,0.96849,0.610738,0.086373,0.7897,0.884388
swin_base_baseline-blocks_5,Swin-B,Baseline,5 blocks,FP16,70.95,137.9,0.5534,0.6041,0.6355,0.6553,0.673,0.96849,0.611059,0.086374,0.789968,0.88412
swin_base_baseline-blocks_5,Swin-B,Baseline,5 blocks,INT8,70.95,71.2,0.5542,0.6073,0.6328,0.6572,0.6736,0.968721,0.611845,0.086693,0.786212,0.884925
deit3_base_kd_best-heads_0.10,DeiT3-B,KD Best (α=0.1),10% heads,FP32,82.94,317.2,0.5928,0.6438,0.6711,0.6902,0.7071,0.974435,0.647304,0.075912,0.810354,0.901019
deit3_base_kd_best-heads_0.10,DeiT3-B,KD Best (α=0.1),10% heads,FP16,82.94,158.9,0.5928,0.6443,0.6709,0.6899,0.7068,0.974442,0.647352,0.075899,0.810354,0.900751
deit3_base_kd_best-heads_0.10,DeiT3-B,KD Best (α=0.1),10% heads,INT8,82.94,82.0,0.5907,0.6414,0.6668,0.6867,0.7028,0.97385,0.644778,0.076985,0.812232,0.899946
deit3_base_kd_best-heads_0.25,DeiT3-B,KD Best (α=0.1),25% heads,FP32,78.61,300.6,0.5652,0.6212,0.651,0.669,0.6835,0.971678,0.623287,0.082349,0.798283,0.894582
deit3_base_kd_best-heads_0.25,DeiT3-B,KD Best (α=0.1),25% heads,FP16,78.61,150.7,0.5655,0.6212,0.6508,0.6693,0.6835,0.971679,0.62343,0.08235,0.798283,0.894582
deit3_base_kd_best-heads_0.25,DeiT3-B,KD Best (α=0.1),25% heads,INT8,78.61,77.8,0.5657,0.6191,0.6481,0.6658,0.6805,0.971197,0.622566,0.082709,0.796674,0.89324
deit3_base_kd_best-blocks_3,DeiT3-B,KD Best (α=0.1),3 blocks,FP32,64.43,246.4,0.5491,0.5979,0.6263,0.6457,0.6626,0.967489,0.603775,0.093079,0.767436,0.873391
deit3_base_kd_best-blocks_3,DeiT3-B,KD Best (α=0.1),3 blocks,FP16,64.43,123.5,0.5491,0.5982,0.6266,0.6454,0.6626,0.967488,0.6038,0.093079,0.767436,0.873659
deit3_base_kd_best-blocks_3,DeiT3-B,KD Best (α=0.1),3 blocks,INT8,64.43,64.0,0.5477,0.599,0.628,0.6451,0.6604,0.967072,0.602959,0.093348,0.767167,0.87044
