architecture,variant,prune_method,precision,params_M,size_MB,rank_at_1,compression_ratio,accuracy_drop,model_label,method_label
Swin-T,KD (α=0.7),10% heads,FP32,28.9,105.3,0.5051,1.02,0.0289,Swin-T (KD (α=0.7)),Pruned 10% heads FP32
Swin-T,KD (α=0.7),10% heads,FP16,28.9,53.2,0.5048,2.01,0.0292,Swin-T (KD (α=0.7)),Pruned 10% heads FP16
Swin-T,KD (α=0.7),10% heads,INT8,28.9,27.8,0.5035,3.85,0.0305,Swin-T (KD (α=0.7)),Pruned 10% heads INT8
Swin-T,Baseline,10% heads,FP32,27.09,105.3,0.4995,1.02,0.0345,Swin-T (Baseline),Pruned 10% heads FP32
Swin-T,Baseline,10% heads,FP16,27.09,53.2,0.4995,2.01,0.0345,Swin-T (Baseline),Pruned 10% heads FP16
Swin-T,Baseline,10% heads,INT8,27.09,27.8,0.4992,3.85,0.0348,Swin-T (Baseline),Pruned 10% heads INT8
Swin-T,Baseline,25% heads,FP32,26.05,101.2,0.4646,1.06,0.0694,Swin-T (Baseline),Pruned 25% heads FP32
Swin-T,Baseline,25% heads,FP16,26.05,51.2,0.4646,2.09,0.0694,Swin-T (Baseline),Pruned 25% heads FP16
Swin-T,Baseline,25% heads,INT8,26.05,26.7,0.4654,4.0,0.0686,Swin-T (Baseline),Pruned 25% heads INT8
Swin-T,Baseline,2 blocks,FP32,23.96,93.1,0.544,1.15,-0.01,Swin-T (Baseline),Pruned 2 blocks FP32
Swin-T,Baseline,2 blocks,FP16,23.96,47.0,0.544,2.27,-0.01,Swin-T (Baseline),Pruned 2 blocks FP16
Swin-T,Baseline,2 blocks,INT8,23.96,24.6,0.5432,4.35,-0.0092,Swin-T (Baseline),Pruned 2 blocks INT8
Swin-T,KD Best (α=0.0),10% heads,FP32,27.09,105.3,0.4032,1.02,0.2128,Swin-T (KD Best (α=0.0)),Pruned 10% heads FP32
Swin-T,KD Best (α=0.0),10% heads,FP16,27.09,53.2,0.4037,2.01,0.2123,Swin-T (KD Best (α=0.0)),Pruned 10% heads FP16
Swin-T,KD Best (α=0.0),10% heads,INT8,27.09,27.8,0.4029,3.85,0.2131,Swin-T (KD Best (α=0.0)),Pruned 10% heads INT8
Swin-T,KD Best (α=0.0),25% heads,FP32,26.05,101.2,0.3801,1.06,0.2359,Swin-T (KD Best (α=0.0)),Pruned 25% heads FP32
Swin-T,KD Best (α=0.0),25% heads,FP16,26.05,51.2,0.3809,2.09,0.2351,Swin-T (KD Best (α=0.0)),Pruned 25% heads FP16
Swin-T,KD Best (α=0.0),25% heads,INT8,26.05,26.7,0.3814,4.0,0.2346,Swin-T (KD Best (α=0.0)),Pruned 25% heads INT8
Swin-T,KD Best (α=0.0),2 blocks,FP32,23.96,93.1,0.5829,1.15,0.0331,Swin-T (KD Best (α=0.0)),Pruned 2 blocks FP32
Swin-T,KD Best (α=0.0),2 blocks,FP16,23.96,47.0,0.5826,2.27,0.0334,Swin-T (KD Best (α=0.0)),Pruned 2 blocks FP16
Swin-T,KD Best (α=0.0),2 blocks,INT8,23.96,24.6,0.5832,4.35,0.0328,Swin-T (KD Best (α=0.0)),Pruned 2 blocks INT8
DeiT3-S,Baseline,10% heads,FP32,20.92,80.6,0.5644,1.03,-0.0124,DeiT3-S (Baseline),Pruned 10% heads FP32
DeiT3-S,Baseline,10% heads,FP16,20.92,40.7,0.5649,2.05,-0.0129,DeiT3-S (Baseline),Pruned 10% heads FP16
DeiT3-S,Baseline,10% heads,INT8,20.92,21.7,0.5646,3.84,-0.0126,DeiT3-S (Baseline),Pruned 10% heads INT8
DeiT3-S,Baseline,25% heads,FP32,19.84,76.5,0.5515,1.09,0.0005,DeiT3-S (Baseline),Pruned 25% heads FP32
DeiT3-S,Baseline,25% heads,FP16,19.84,38.6,0.552,2.16,0.0,DeiT3-S (Baseline),Pruned 25% heads FP16
DeiT3-S,Baseline,25% heads,INT8,19.84,20.7,0.5416,4.02,0.0104,DeiT3-S (Baseline),Pruned 25% heads INT8
DeiT3-S,Baseline,2 blocks,FP32,18.06,69.6,0.4981,1.2,0.0539,DeiT3-S (Baseline),Pruned 2 blocks FP32
DeiT3-S,Baseline,2 blocks,FP16,18.06,35.1,0.4981,2.37,0.0539,DeiT3-S (Baseline),Pruned 2 blocks FP16
DeiT3-S,Baseline,2 blocks,INT8,18.06,18.9,0.4984,4.41,0.0536,DeiT3-S (Baseline),Pruned 2 blocks INT8
Swin-B,Baseline,10% heads,FP32,84.75,327.2,0.4874,1.02,0.0386,Swin-B (Baseline),Pruned 10% heads FP32
Swin-B,Baseline,10% heads,FP16,84.75,164.7,0.4874,2.03,0.0386,Swin-B (Baseline),Pruned 10% heads FP16
Swin-B,Baseline,10% heads,INT8,84.75,85.1,0.4877,3.94,0.0383,Swin-B (Baseline),Pruned 10% heads INT8
Swin-B,Baseline,25% heads,FP32,81.0,312.7,0.4541,1.07,0.0719,Swin-B (Baseline),Pruned 25% heads FP32
Swin-B,Baseline,25% heads,FP16,81.0,157.5,0.4541,2.13,0.0719,Swin-B (Baseline),Pruned 25% heads FP16
Swin-B,Baseline,25% heads,INT8,81.0,81.2,0.4528,4.12,0.0732,Swin-B (Baseline),Pruned 25% heads INT8
Swin-B,Baseline,5 blocks,FP32,70.95,273.9,0.5528,1.22,-0.0268,Swin-B (Baseline),Pruned 5 blocks FP32
Swin-B,Baseline,5 blocks,FP16,70.95,137.9,0.5534,2.43,-0.0274,Swin-B (Baseline),Pruned 5 blocks FP16
Swin-B,Baseline,5 blocks,INT8,70.95,71.2,0.5542,4.7,-0.0282,Swin-B (Baseline),Pruned 5 blocks INT8
DeiT3-B,KD Best (α=0.1),10% heads,FP32,82.94,317.2,0.5928,1.03,0.0002,DeiT3-B (KD Best (α=0.1)),Pruned 10% heads FP32
DeiT3-B,KD Best (α=0.1),10% heads,FP16,82.94,158.9,0.5928,2.06,0.0002,DeiT3-B (KD Best (α=0.1)),Pruned 10% heads FP16
DeiT3-B,KD Best (α=0.1),10% heads,INT8,82.94,82.0,0.5907,4.0,0.0023,DeiT3-B (KD Best (α=0.1)),Pruned 10% heads INT8
DeiT3-B,KD Best (α=0.1),25% heads,FP32,78.61,300.6,0.5652,1.09,0.0278,DeiT3-B (KD Best (α=0.1)),Pruned 25% heads FP32
DeiT3-B,KD Best (α=0.1),25% heads,FP16,78.61,150.7,0.5655,2.17,0.0275,DeiT3-B (KD Best (α=0.1)),Pruned 25% heads FP16
DeiT3-B,KD Best (α=0.1),25% heads,INT8,78.61,77.8,0.5657,4.21,0.0273,DeiT3-B (KD Best (α=0.1)),Pruned 25% heads INT8
DeiT3-B,KD Best (α=0.1),3 blocks,FP32,64.43,246.4,0.5491,1.33,0.0439,DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks FP32
DeiT3-B,KD Best (α=0.1),3 blocks,FP16,64.43,123.5,0.5491,2.65,0.0439,DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks FP16
DeiT3-B,KD Best (α=0.1),3 blocks,INT8,64.43,64.0,0.5477,5.12,0.0453,DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks INT8
