model,resolution,params_M,gmacs,sum_by_module_pct,status
pvt_v2_b2,224,24.85,3.9027,100.0,ok
pvt_v2_b2,256,24.85,5.0974,100.0,ok
pvt_v2_b2,384,24.85,11.4692,100.0,ok
pvt_v2_b2,512,24.85,20.3896,100.0,ok
pvt_v2_b2,768,24.85,45.8767,100.0,ok
pvt_v2_b2,1024,24.85,81.5586,100.0,ok
pvt_v2_b3,64,44.73,0.5476,100.0,ok
pvt_v2_b3,96,44.73,1.2321,100.0,ok
pvt_v2_b3,128,44.73,2.1904,100.0,ok
pvt_v2_b3,160,44.73,3.4224,100.0,ok
pvt_v2_b3,224,44.73,6.7080,100.0,ok
pvt_v2_b3,256,44.73,8.7614,100.0,ok
pvt_v2_b3,384,44.73,19.7133,100.0,ok
pvt_v2_b3,512,44.73,35.0458,100.0,ok
pvt_v2_b3,768,44.73,78.8530,100.0,ok
pvt_v2_b3,1024,44.73,140.1831,100.0,ok
pvt_v2_b5,64,81.44,0.9298,100.0,ok
pvt_v2_b5,96,81.44,2.0922,100.0,ok
pvt_v2_b5,128,81.44,3.7194,100.0,ok
pvt_v2_b5,160,81.44,5.8116,100.0,ok
pvt_v2_b5,224,81.44,11.3906,100.0,ok
pvt_v2_b5,256,81.44,14.8776,100.0,ok
pvt_v2_b5,384,81.44,33.4745,100.0,ok
pvt_v2_b5,512,81.44,59.5103,100.0,ok
pvt_v2_b5,768,81.44,133.8981,100.0,ok
pvt_v2_b5,1024,81.44,238.0411,100.0,ok
resnet50d,64,23.53,0.3552,100.0,ok
resnet50d,96,23.53,0.7991,100.0,ok
resnet50d,128,23.53,1.4206,100.0,ok
resnet50d,160,23.53,2.2198,100.0,ok
resnet50d,224,23.53,4.3507,100.0,ok
resnet50d,256,23.53,5.6826,100.0,ok
resnet50d,384,23.53,12.7858,100.0,ok
resnet50d,512,23.53,22.7302,100.0,ok
resnet50d,768,23.53,51.1430,100.0,ok
resnet50d,1024,23.53,90.9210,100.0,ok
resnet101d,64,42.52,0.6590,100.0,ok
resnet101d,96,42.52,1.4828,100.0,ok
resnet101d,128,42.52,2.6361,100.0,ok
resnet101d,160,42.52,4.1190,100.0,ok
resnet101d,224,42.52,8.0732,100.0,ok
resnet101d,256,42.52,10.5445,100.0,ok
resnet101d,384,42.52,23.7252,100.0,ok
resnet101d,512,42.52,42.1782,100.0,ok
resnet101d,768,42.52,94.9009,100.0,ok
resnet101d,1024,42.52,168.7127,100.0,ok
resnet200d,64,62.64,1.2499,100.0,ok
resnet200d,96,62.64,2.8123,100.0,ok
resnet200d,128,62.64,4.9996,100.0,ok
resnet200d,160,62.64,7.8118,100.0,ok
resnet200d,224,62.64,15.3112,100.0,ok
resnet200d,256,62.64,19.9982,100.0,ok
resnet200d,384,62.64,44.9961,100.0,ok
resnet200d,512,62.64,79.9930,100.0,ok
resnet200d,768,62.64,179.9842,100.0,ok
resnet200d,1024,62.64,319.9719,100.0,ok
mobilevitv2_200,64,17.42,0.4511,99.3,ok
mobilevitv2_200,96,17.42,1.0612,99.3,ok
mobilevitv2_200,128,17.42,1.8046,99.3,ok
mobilevitv2_200,160,17.42,2.8922,99.3,ok
mobilevitv2_200,224,17.42,5.6256,99.3,ok
mobilevitv2_200,256,17.42,7.2183,99.3,ok
mobilevitv2_200,384,17.42,16.2411,99.3,ok
mobilevitv2_200,512,17.42,28.8731,99.3,ok
mobilevitv2_200,768,17.42,64.9644,99.3,ok
mobilevitv2_200,1024,17.42,115.4923,99.3,ok
