model,resolution,category,gmacs,pct_of_total
swin_tiny_patch4_window7_224,1024,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,1024,other,0.0000,0.00
swin_tiny_patch4_window7_224,1024,head,0.0000,0.00
swin_small_patch4_window7_224,64,ffn_mlp,0.4530,58.91
swin_small_patch4_window7_224,64,attention_qkv,0.2093,27.22
swin_small_patch4_window7_224,64,attention_proj,0.0698,9.07
swin_small_patch4_window7_224,64,downsample,0.0144,1.87
swin_small_patch4_window7_224,64,norm,0.0019,0.25
swin_small_patch4_window7_224,64,patch_embed,0.0013,0.17
swin_small_patch4_window7_224,64,attention_other,0.0000,0.00
swin_small_patch4_window7_224,64,other,0.0000,0.00
swin_small_patch4_window7_224,64,head,0.0000,0.00
swin_small_patch4_window7_224,96,ffn_mlp,1.0192,62.17
swin_small_patch4_window7_224,96,attention_qkv,0.4052,24.72
swin_small_patch4_window7_224,96,attention_proj,0.1351,8.24
swin_small_patch4_window7_224,96,downsample,0.0323,1.97
swin_small_patch4_window7_224,96,norm,0.0043,0.26
swin_small_patch4_window7_224,96,patch_embed,0.0029,0.18
swin_small_patch4_window7_224,96,attention_other,0.0000,0.00
swin_small_patch4_window7_224,96,other,0.0000,0.00
swin_small_patch4_window7_224,96,head,0.0000,0.00
swin_small_patch4_window7_224,128,ffn_mlp,1.8119,40.88
swin_small_patch4_window7_224,128,attention_qkv,1.7826,40.22
swin_small_patch4_window7_224,128,attention_proj,0.5942,13.41
swin_small_patch4_window7_224,128,downsample,0.0575,1.30
swin_small_patch4_window7_224,128,norm,0.0077,0.17
swin_small_patch4_window7_224,128,patch_embed,0.0052,0.12
swin_small_patch4_window7_224,128,attention_other,0.0000,0.00
swin_small_patch4_window7_224,128,other,0.0000,0.00
swin_small_patch4_window7_224,128,head,0.0000,0.00
swin_small_patch4_window7_224,160,ffn_mlp,2.8312,50.70
swin_small_patch4_window7_224,160,attention_qkv,1.8442,33.02
swin_small_patch4_window7_224,160,attention_proj,0.6147,11.01
swin_small_patch4_window7_224,160,downsample,0.0898,1.61
swin_small_patch4_window7_224,160,norm,0.0120,0.21
swin_small_patch4_window7_224,160,patch_embed,0.0081,0.15
swin_small_patch4_window7_224,160,attention_other,0.0000,0.00
swin_small_patch4_window7_224,160,other,0.0000,0.00
swin_small_patch4_window7_224,160,head,0.0000,0.00
swin_small_patch4_window7_224,224,ffn_mlp,5.5491,63.29
swin_small_patch4_window7_224,224,attention_qkv,2.0809,23.73
swin_small_patch4_window7_224,224,attention_proj,0.6936,7.91
swin_small_patch4_window7_224,224,downsample,0.1760,2.01
swin_small_patch4_window7_224,224,norm,0.0235,0.27
swin_small_patch4_window7_224,224,patch_embed,0.0160,0.18
swin_small_patch4_window7_224,224,attention_other,0.0000,0.00
swin_small_patch4_window7_224,224,other,0.0000,0.00
swin_small_patch4_window7_224,224,head,0.0000,0.00
swin_small_patch4_window7_224,256,ffn_mlp,7.2478,50.59
swin_small_patch4_window7_224,256,attention_qkv,4.7471,33.14
swin_small_patch4_window7_224,256,attention_proj,1.5824,11.05
swin_small_patch4_window7_224,256,downsample,0.2299,1.61
swin_small_patch4_window7_224,256,norm,0.0307,0.21
swin_small_patch4_window7_224,256,patch_embed,0.0208,0.15
swin_small_patch4_window7_224,256,attention_other,0.0000,0.00
swin_small_patch4_window7_224,256,other,0.0000,0.00
swin_small_patch4_window7_224,256,head,0.0000,0.00
swin_small_patch4_window7_224,384,ffn_mlp,16.3075,57.35
swin_small_patch4_window7_224,384,attention_qkv,7.9985,28.13
swin_small_patch4_window7_224,384,attention_proj,2.6662,9.38
swin_small_patch4_window7_224,384,downsample,0.5173,1.82
swin_small_patch4_window7_224,384,norm,0.0691,0.24
swin_small_patch4_window7_224,384,patch_embed,0.0469,0.16
swin_small_patch4_window7_224,384,attention_other,0.0000,0.00
swin_small_patch4_window7_224,384,other,0.0000,0.00
swin_small_patch4_window7_224,384,head,0.0000,0.00
swin_small_patch4_window7_224,512,ffn_mlp,28.9910,58.73
swin_small_patch4_window7_224,512,attention_qkv,13.3768,27.10
swin_small_patch4_window7_224,512,attention_proj,4.4589,9.03
swin_small_patch4_window7_224,512,downsample,0.9197,1.86
swin_small_patch4_window7_224,512,norm,0.1229,0.25
swin_small_patch4_window7_224,512,patch_embed,0.0834,0.17
swin_small_patch4_window7_224,512,attention_other,0.0000,0.00
swin_small_patch4_window7_224,512,other,0.0000,0.00
swin_small_patch4_window7_224,512,head,0.0000,0.00
swin_small_patch4_window7_224,768,ffn_mlp,65.2298,61.86
swin_small_patch4_window7_224,768,attention_qkv,26.1413,24.79
swin_small_patch4_window7_224,768,attention_proj,8.7138,8.26
swin_small_patch4_window7_224,768,downsample,2.0694,1.96
swin_small_patch4_window7_224,768,norm,0.2765,0.26
swin_small_patch4_window7_224,768,patch_embed,0.1876,0.18
swin_small_patch4_window7_224,768,attention_other,0.0000,0.00
swin_small_patch4_window7_224,768,other,0.0000,0.00
swin_small_patch4_window7_224,768,head,0.0000,0.00
swin_small_patch4_window7_224,1024,ffn_mlp,115.9641,59.82
swin_small_patch4_window7_224,1024,attention_qkv,50.9739,26.29
swin_small_patch4_window7_224,1024,attention_proj,16.9913,8.76
swin_small_patch4_window7_224,1024,downsample,3.6789,1.90
swin_small_patch4_window7_224,1024,norm,0.4915,0.25
swin_small_patch4_window7_224,1024,patch_embed,0.3334,0.17
swin_small_patch4_window7_224,1024,attention_other,0.0000,0.00
swin_small_patch4_window7_224,1024,other,0.0000,0.00
swin_small_patch4_window7_224,1024,head,0.0000,0.00
swin_base_patch4_window7_224,64,ffn_mlp,0.8053,59.35
swin_base_patch4_window7_224,64,attention_qkv,0.3721,27.42
swin_base_patch4_window7_224,64,attention_proj,0.1240,9.14
swin_base_patch4_window7_224,64,downsample,0.0255,1.88
swin_base_patch4_window7_224,64,norm,0.0026,0.19
swin_base_patch4_window7_224,64,patch_embed,0.0017,0.13
swin_base_patch4_window7_224,64,attention_other,0.0000,0.00
swin_base_patch4_window7_224,64,other,0.0000,0.00
swin_base_patch4_window7_224,64,head,0.0000,0.00
swin_base_patch4_window7_224,96,ffn_mlp,1.8119,62.63
swin_base_patch4_window7_224,96,attention_qkv,0.7204,24.90
swin_base_patch4_window7_224,96,attention_proj,0.2401,8.30
swin_base_patch4_window7_224,96,downsample,0.0573,1.98
swin_base_patch4_window7_224,96,norm,0.0058,0.20
swin_base_patch4_window7_224,96,patch_embed,0.0039,0.14
swin_base_patch4_window7_224,96,attention_other,0.0000,0.00
swin_base_patch4_window7_224,96,other,0.0000,0.00
swin_base_patch4_window7_224,96,head,0.0000,0.00
swin_base_patch4_window7_224,128,ffn_mlp,3.2212,41.32
swin_base_patch4_window7_224,128,attention_qkv,3.1690,40.65
swin_base_patch4_window7_224,128,attention_proj,1.0563,13.55
swin_base_patch4_window7_224,128,downsample,0.1018,1.31
swin_base_patch4_window7_224,128,norm,0.0102,0.13
swin_base_patch4_window7_224,128,patch_embed,0.0069,0.09
swin_base_patch4_window7_224,128,attention_other,0.0000,0.00
swin_base_patch4_window7_224,128,other,0.0000,0.00
swin_base_patch4_window7_224,128,head,0.0000,0.00
swin_base_patch4_window7_224,160,ffn_mlp,5.0332,51.17
swin_base_patch4_window7_224,160,attention_qkv,3.2786,33.33
swin_base_patch4_window7_224,160,attention_proj,1.0929,11.11
swin_base_patch4_window7_224,160,downsample,0.1591,1.62
swin_base_patch4_window7_224,160,norm,0.0160,0.16
swin_base_patch4_window7_224,160,patch_embed,0.0109,0.11
swin_base_patch4_window7_224,160,attention_other,0.0000,0.00
swin_base_patch4_window7_224,160,other,0.0000,0.00
swin_base_patch4_window7_224,160,head,0.0000,0.00
swin_base_patch4_window7_224,224,ffn_mlp,9.8650,63.78
swin_base_patch4_window7_224,224,attention_qkv,3.6994,23.92
swin_base_patch4_window7_224,224,attention_proj,1.2331,7.97
swin_base_patch4_window7_224,224,downsample,0.3118,2.02
