model,ep,precision,mean_ms,std_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,power_mode_id,power_mode_label,wattage_budget
convnext_tiny,TRT,FP32,4.88498864043504,0.010567589417842983,4.882496781647205,4.898823658004403,4.923438252881169,4.869665019214153,4.938849713653326,0,15W,15
convnext_tiny,TRT,FP16,3.2412565583363175,0.010372592701992856,3.239184385165572,3.2541866414248943,3.2776678586378694,3.223360050469637,3.298050258308649,0,15W,15
pvt_v2_b2,TRT,FP32,7.663806911557913,0.011114492993021594,7.662329124286771,7.676579710096121,7.701756022870541,7.640952244400978,7.71477771922946,0,15W,15
pvt_v2_b2,TRT,FP16,5.529575671069324,0.015107109538398581,5.526719382032752,5.544763570651412,5.5674750078469515,5.507761146873236,5.699648056179285,0,15W,15
convnext_tiny,TRT,FP32,4.070292544551194,0.01124928302871666,4.067172529175878,4.0835274849087,4.108706144616008,4.054609220474958,4.134003072977066,1,25W,25
convnext_tiny,TRT,FP16,2.667540118098259,0.01751383301517225,2.6635932736098766,2.685424964874983,2.7232088102027774,2.644387073814869,2.8514661826193333,1,25W,25
pvt_v2_b2,TRT,FP32,6.055169217288494,0.017276962993015867,6.053072167560458,6.066514831036329,6.089446432888508,6.028698291629553,6.367103662341833,1,25W,25
pvt_v2_b2,TRT,FP16,4.3466261411085725,0.015039135274919619,4.343782551586628,4.360531223937869,4.409344154410064,4.321643151342869,4.420428071171045,1,25W,25
convnext_tiny,TRT,FP32,3.8859009351581335,0.009997844881137308,3.883111057803035,3.899211762472987,3.9188550412654877,3.8680159486830235,3.9611579850316048,2,MAXN_SUPER,25
convnext_tiny,TRT,FP16,2.4961576368659735,0.00938932128183032,2.493924694135785,2.5072892662137747,2.529983725398779,2.479569986462593,2.5459849275648594,2,MAXN_SUPER,25
pvt_v2_b2,TRT,FP32,5.700750862248242,0.018024994632032235,5.697930231690407,5.713169137015939,5.742681734263897,5.67323574796319,5.949491169303656,2,MAXN_SUPER,25
pvt_v2_b2,TRT,FP16,4.075210092589259,0.010415642781308519,4.073557909578085,4.085480654612184,4.11376912612468,4.054495133459568,4.133458714932203,2,MAXN_SUPER,25
